From,UniprotID,Reviewed,Entry Name,Protein names,Gene,Organism,Length,Uniprot_Gene
BACE1,A0A024R3D7,unreviewed,A0A024R3D7_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),501,A0A024R3D7_BACE1
BACE1,A0A024R3E8,unreviewed,A0A024R3E8_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),476,A0A024R3E8_BACE1
BACE1,A0A024R3F9,unreviewed,A0A024R3F9_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),432,A0A024R3F9_BACE1
BACE1,A0A7P0T924,unreviewed,A0A7P0T924_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1,Homo sapiens (Human),333,A0A7P0T924_BACE1
BACE1,A0A7P0TAB4,unreviewed,A0A7P0TAB4_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),267,A0A7P0TAB4_BACE1
BACE1,B7Z3Z4,unreviewed,B7Z3Z4_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),401,B7Z3Z4_BACE1
BACE1,E9PJG7,unreviewed,E9PJG7_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1,Homo sapiens (Human),467,E9PJG7_BACE1
BACE1,Q6YBQ9,unreviewed,Q6YBQ9_HUMAN,BACE1,BACE1,Homo sapiens (Human),12,Q6YBQ9_BACE1
BACE1,Q76KP0,unreviewed,Q76KP0_HUMAN,Beta-secretase 1 (Beta-site APP cleaving enzyme isoform I-127),BACE1 BACE,Homo sapiens (Human),127,Q76KP0_BACE1
BACE1,Q8IYC8,unreviewed,Q8IYC8_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1,Homo sapiens (Human),501,Q8IYC8_BACE1
BACE1,U3KPS1,unreviewed,U3KPS1_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1,Homo sapiens (Human),351,U3KPS1_BACE1
BACE2,Q9Y5Z0,reviewed,BACE2_HUMAN,Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase),BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852,Homo sapiens (Human),518,Q9Y5Z0_BACE2
REN,P00797,reviewed,RENI_HUMAN,Renin (EC 3.4.23.15) (Angiotensinogenase),REN,Homo sapiens (Human),406,P00797_REN
REN,Q693B1,reviewed,KCD11_HUMAN,BTB/POZ domain-containing protein KCTD11 (KCASH1 protein) (Potassium channel tetramerization domain-containing protein 11) (RING-type E3 ubiquitin transferase subunit KCTD11),KCTD11 C17orf36 REN,Homo sapiens (Human),232,Q693B1_REN
REN,A0A1B0GUZ2,unreviewed,A0A1B0GUZ2_HUMAN,Renin (EC 3.4.23.15) (Angiotensinogenase),REN,Homo sapiens (Human),368,A0A1B0GUZ2_REN
CTSD,P07339,reviewed,CATD_HUMAN,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,Homo sapiens (Human),412,P07339_CTSD
CTSD,A0A0S2Z3L4,unreviewed,A0A0S2Z3L4_HUMAN,Cathepsin D isoform 2,CTSD,Homo sapiens (Human),83,A0A0S2Z3L4_CTSD
CTSD,A0A1B0GV23,unreviewed,A0A1B0GV23_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),406,A0A1B0GV23_CTSD
CTSD,A0A1B0GVD5,unreviewed,A0A1B0GVD5_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),409,A0A1B0GVD5_CTSD
CTSD,A0A1B0GVP3,unreviewed,A0A1B0GVP3_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),405,A0A1B0GVP3_CTSD
CTSD,A0A1B0GW44,unreviewed,A0A1B0GW44_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),405,A0A1B0GW44_CTSD
CTSD,A0A1B0GWE8,unreviewed,A0A1B0GWE8_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),410,A0A1B0GWE8_CTSD
CTSD,A0A7I2V2N3,unreviewed,A0A7I2V2N3_HUMAN,Cathepsin D,CTSD,Homo sapiens (Human),93,A0A7I2V2N3_CTSD
CTSD,C9JH19,unreviewed,C9JH19_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),451,C9JH19_CTSD
CTSD,F8W787,unreviewed,F8W787_HUMAN,Cathepsin D (EC 3.4.23.5),CTSD,Homo sapiens (Human),377,F8W787_CTSD
CTSD,F8WD96,unreviewed,F8WD96_HUMAN,Cathepsin D,CTSD,Homo sapiens (Human),276,F8WD96_CTSD
CTSD,V9HWI3,unreviewed,V9HWI3_HUMAN,Cathepsin D (EC 3.4.23.5),HEL-S-130P CTSD hCG_49857,Homo sapiens (Human),412,V9HWI3_CTSD
CTSE,P14091,reviewed,CATE_HUMAN,Cathepsin E (EC 3.4.23.34) [Cleaved into: Cathepsin E form I; Cathepsin E form II],CTSE,Homo sapiens (Human),396,P14091_CTSE
CTSE,A0A7I2V480,unreviewed,A0A7I2V480_HUMAN,Cathepsin E,CTSE,Homo sapiens (Human),363,A0A7I2V480_CTSE
CTSE,A0A7I2V4C5,unreviewed,A0A7I2V4C5_HUMAN,Cathepsin E,CTSE,Homo sapiens (Human),105,A0A7I2V4C5_CTSE
CTSE,A0A7I2V4K7,unreviewed,A0A7I2V4K7_HUMAN,Cathepsin E,CTSE,Homo sapiens (Human),247,A0A7I2V4K7_CTSE
CTSE,A0A7I2V648,unreviewed,A0A7I2V648_HUMAN,Cathepsin E,CTSE,Homo sapiens (Human),266,A0A7I2V648_CTSE
CTSE,A0A7P0MPN9,unreviewed,A0A7P0MPN9_HUMAN,Cathepsin E,CTSE,Homo sapiens (Human),401,A0A7P0MPN9_CTSE
NAPSA,O96009,reviewed,NAPSA_HUMAN,Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02),NAPSA NAP1 NAPA,Homo sapiens (Human),420,O96009_NAPSA
NAPSA,A0A0B4J2A8,unreviewed,A0A0B4J2A8_HUMAN,Napsin A aspartic peptidase,NAPSA,Homo sapiens (Human),104,A0A0B4J2A8_NAPSA
NAPSA,M0QXC5,unreviewed,M0QXC5_HUMAN,Napsin A aspartic peptidase,NAPSA,Homo sapiens (Human),411,M0QXC5_NAPSA
PSEN2,P49810,reviewed,PSN2_HUMAN,Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit],PSEN2 AD4 PS2 PSNL2 STM2,Homo sapiens (Human),448,P49810_PSEN2
PSEN2,A0A218KGQ4,unreviewed,A0A218KGQ4_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),448,A0A218KGQ4_PSEN2
PSEN2,A0A7I2V2W1,unreviewed,A0A7I2V2W1_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),303,A0A7I2V2W1_PSEN2
PSEN2,A0A7I2V355,unreviewed,A0A7I2V355_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),399,A0A7I2V355_PSEN2
PSEN2,A0A7I2V3R9,unreviewed,A0A7I2V3R9_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),471,A0A7I2V3R9_PSEN2
PSEN2,A0A7I2V3Y8,unreviewed,A0A7I2V3Y8_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),263,A0A7I2V3Y8_PSEN2
PSEN2,A0A7I2V4D0,unreviewed,A0A7I2V4D0_HUMAN,Presenilin-2,PSEN2,Homo sapiens (Human),415,A0A7I2V4D0_PSEN2
PSEN2,A0A7I2V4T4,unreviewed,A0A7I2V4T4_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),366,A0A7I2V4T4_PSEN2
PSEN2,A0A7I2V4Y6,unreviewed,A0A7I2V4Y6_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),367,A0A7I2V4Y6_PSEN2
PSEN2,A0A7I2V551,unreviewed,A0A7I2V551_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),321,A0A7I2V551_PSEN2
PSEN2,A0A7I2V5L1,unreviewed,A0A7I2V5L1_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),367,A0A7I2V5L1_PSEN2
PSEN2,A0A7I2V5Q3,unreviewed,A0A7I2V5Q3_HUMAN,Presenilin 2,PSEN2,Homo sapiens (Human),165,A0A7I2V5Q3_PSEN2
PSEN2,A0A7I2V5S6,unreviewed,A0A7I2V5S6_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),527,A0A7I2V5S6_PSEN2
PSEN2,A0A7I2V5Y0,unreviewed,A0A7I2V5Y0_HUMAN,Presenilin 2,PSEN2,Homo sapiens (Human),53,A0A7I2V5Y0_PSEN2
PSEN2,A0A7I2YQG9,unreviewed,A0A7I2YQG9_HUMAN,Presenilin 2,PSEN2,Homo sapiens (Human),54,A0A7I2YQG9_PSEN2
PSEN2,B1AP22,unreviewed,B1AP22_HUMAN,Presenilin (EC 3.4.23.-),PSEN2 hCG_15757,Homo sapiens (Human),481,B1AP22_PSEN2
PSEN2,E5RFW4,unreviewed,E5RFW4_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),144,E5RFW4_PSEN2
PSEN2,E5RG63,unreviewed,E5RG63_HUMAN,Presenilin (EC 3.4.23.-),PSEN2,Homo sapiens (Human),304,E5RG63_PSEN2
PSEN2,E5RHT1,unreviewed,E5RHT1_HUMAN,Presenilin 2,PSEN2,Homo sapiens (Human),129,E5RHT1_PSEN2
PSEN2,E5RJM5,unreviewed,E5RJM5_HUMAN,Presenilin-2,PSEN2,Homo sapiens (Human),21,E5RJM5_PSEN2
SPPL3,Q8TCT6,reviewed,SPPL3_HUMAN,Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin homologous protein 1) (PSH1) (Presenilin-like protein 4),SPPL3 IMP2 PSL4,Homo sapiens (Human),384,Q8TCT6_SPPL3
SPPL3,F5H2A2,unreviewed,F5H2A2_HUMAN,Signal peptide peptidase like 3,SPPL3,Homo sapiens (Human),102,F5H2A2_SPPL3
SPPL3,F5H4L1,unreviewed,F5H4L1_HUMAN,Signal peptide peptidase like 3,SPPL3,Homo sapiens (Human),118,F5H4L1_SPPL3
SPPL3,F5H4Y6,unreviewed,F5H4Y6_HUMAN,Signal peptide peptidase like 3,SPPL3,Homo sapiens (Human),66,F5H4Y6_SPPL3
SPPL3,F5H6I1,unreviewed,F5H6I1_HUMAN,Signal peptide peptidase like 3,SPPL3,Homo sapiens (Human),164,F5H6I1_SPPL3
SPPL3,F5H7J2,unreviewed,F5H7J2_HUMAN,Signal peptide peptidase like 3,SPPL3,Homo sapiens (Human),183,F5H7J2_SPPL3
SPPL3,L8EBD6,unreviewed,L8EBD6_HUMAN,Alternative protein SPPL3,SPPL3,Homo sapiens (Human),47,L8EBD6_SPPL3
SPPL2C,Q8IUH8,reviewed,SPP2C_HUMAN,Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5),SPPL2C IMP5,Homo sapiens (Human),684,Q8IUH8_SPPL2C
SPPL2C,A0A0G2JNG8,unreviewed,A0A0G2JNG8_HUMAN,Signal peptide peptidase-like 2C,SPPL2C,Homo sapiens (Human),684,A0A0G2JNG8_SPPL2C
SPPL2C,A0A0G2JPF3,unreviewed,A0A0G2JPF3_HUMAN,Signal peptide peptidase-like 2C,SPPL2C,Homo sapiens (Human),684,A0A0G2JPF3_SPPL2C
HM13,Q8TCT9,reviewed,HM13_HUMAN,Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase),HM13 H13 IMP1 PSL3 SPP MSTP086,Homo sapiens (Human),377,Q8TCT9_HM13
HM13,A0A075B6F6,unreviewed,A0A075B6F6_HUMAN,Histocompatibility minor 13,HM13,Homo sapiens (Human),272,A0A075B6F6_HM13
HM13,A0A087WVH6,unreviewed,A0A087WVH6_HUMAN,Histocompatibility minor 13,HM13,Homo sapiens (Human),50,A0A087WVH6_HM13
HM13,A0A0C4DGU3,unreviewed,A0A0C4DGU3_HUMAN,Histocompatibility minor 13,HM13,Homo sapiens (Human),143,A0A0C4DGU3_HM13
HM13,A0A0S2Z5V7,unreviewed,A0A0S2Z5V7_HUMAN,Histocompatibility 13 isoform 1,HM13,Homo sapiens (Human),377,A0A0S2Z5V7_HM13
HM13,A0A0S2Z6F0,unreviewed,A0A0S2Z6F0_HUMAN,Histocompatibility 13 isoform 2 (Histocompatibility minor 13),HM13,Homo sapiens (Human),345,A0A0S2Z6F0_HM13
HM13,A0A3B3IT72,unreviewed,A0A3B3IT72_HUMAN,Histocompatibility minor 13,HM13,Homo sapiens (Human),365,A0A3B3IT72_HM13
HM13,A0A3B3IUB5,unreviewed,A0A3B3IUB5_HUMAN,Histocompatibility minor 13,HM13,Homo sapiens (Human),420,A0A3B3IUB5_HM13
SPPL2B,Q8TCT7,reviewed,SPP2B_HUMAN,Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-) (Intramembrane protease 4) (IMP-4) (Presenilin homologous protein 4) (PSH4) (Presenilin-like protein 1),SPPL2B IMP4 KIAA1532 PSL1,Homo sapiens (Human),592,Q8TCT7_SPPL2B
SPPL2B,A0A087WT77,unreviewed,A0A087WT77_HUMAN,Signal peptide peptidase like 2B,SPPL2B,Homo sapiens (Human),165,A0A087WT77_SPPL2B
SPPL2B,A0A087WWL4,unreviewed,A0A087WWL4_HUMAN,Signal peptide peptidase like 2B,SPPL2B,Homo sapiens (Human),81,A0A087WWL4_SPPL2B
SPPL2B,A0A087WZ50,unreviewed,A0A087WZ50_HUMAN,Signal peptide peptidase like 2B,SPPL2B,Homo sapiens (Human),291,A0A087WZ50_SPPL2B
SPPL2B,A0A087WZ93,unreviewed,A0A087WZ93_HUMAN,Signal peptide peptidase like 2B,SPPL2B,Homo sapiens (Human),139,A0A087WZ93_SPPL2B
SPPL2A,Q8TCT8,reviewed,SPP2A_HUMAN,Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2),SPPL2A IMP3 PSL2 PSEC0147,Homo sapiens (Human),520,Q8TCT8_SPPL2A
SPPL2A,A0A8V8TLF6,unreviewed,A0A8V8TLF6_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),313,A0A8V8TLF6_SPPL2A
SPPL2A,A0A8V8TLI3,unreviewed,A0A8V8TLI3_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),495,A0A8V8TLI3_SPPL2A
SPPL2A,A0A8V8TLY7,unreviewed,A0A8V8TLY7_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),388,A0A8V8TLY7_SPPL2A
SPPL2A,A0A8V8TLZ2,unreviewed,A0A8V8TLZ2_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),452,A0A8V8TLZ2_SPPL2A
SPPL2A,A0A8V8TN76,unreviewed,A0A8V8TN76_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),501,A0A8V8TN76_SPPL2A
SPPL2A,H0YNA2,unreviewed,H0YNA2_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),356,H0YNA2_SPPL2A
SPPL2A,H0YNA7,unreviewed,H0YNA7_HUMAN,Signal peptide peptidase like 2A,SPPL2A,Homo sapiens (Human),149,H0YNA7_SPPL2A
ASPRV1,Q53RT3,reviewed,APRV1_HUMAN,Retroviral-like aspartic protease 1 (EC 3.4.23.-) (Skin-specific retroviral-like aspartic protease) (SASPase) (Skin aspartic protease) (TPA-inducible aspartic proteinase-like protein) (TAPS),ASPRV1 SASP,Homo sapiens (Human),343,Q53RT3_ASPRV1
DDI1,Q8WTU0,reviewed,DDI1_HUMAN,Protein DDI1 homolog 1 (EC 3.4.23.-),DDI1,Homo sapiens (Human),396,Q8WTU0_DDI1
DDI2,Q5TDH0,reviewed,DDI2_HUMAN,Protein DDI1 homolog 2 (EC 3.4.23.-),DDI2,Homo sapiens (Human),399,Q5TDH0_DDI2
DDI2,H0YI90,unreviewed,H0YI90_HUMAN,DNA damage inducible 1 homolog 2,DDI2,Homo sapiens (Human),103,H0YI90_DDI2
DDI2,H0YII4,unreviewed,H0YII4_HUMAN,DNA damage inducible 1 homolog 2,DDI2,Homo sapiens (Human),99,H0YII4_DDI2
NRIP2,Q9BQI9,reviewed,NRIP2_HUMAN,Nuclear receptor-interacting protein 2,NRIP2,Homo sapiens (Human),281,Q9BQI9_NRIP2
NRIP2,F5H065,unreviewed,F5H065_HUMAN,Nuclear receptor interacting protein 2,NRIP2,Homo sapiens (Human),138,F5H065_NRIP2
NRIP2,F5H2G5,unreviewed,F5H2G5_HUMAN,Nuclear receptor interacting protein 2,NRIP2,Homo sapiens (Human),175,F5H2G5_NRIP2
NRIP3,Q9NQ35,reviewed,NRIP3_HUMAN,Nuclear receptor-interacting protein 3 (Sarcoma antigen NY-SAR-105),NRIP3 C11orf14,Homo sapiens (Human),241,Q9NQ35_NRIP3
NRIP3,A0A8Q3WME3,unreviewed,A0A8Q3WME3_HUMAN,Nuclear receptor interacting protein 3,NRIP3,Homo sapiens (Human),252,A0A8Q3WME3_NRIP3
NRIP3,B7Z3Y4,unreviewed,B7Z3Y4_HUMAN,"Nuclear receptor interacting protein 3 (cDNA FLJ51629, highly similar to Nuclear receptor-interacting protein 3)",NRIP3,Homo sapiens (Human),141,B7Z3Y4_NRIP3
NRIP3,E9PIW3,unreviewed,E9PIW3_HUMAN,Nuclear receptor interacting protein 3,NRIP3,Homo sapiens (Human),160,E9PIW3_NRIP3
NRIP3,H0YCM9,unreviewed,H0YCM9_HUMAN,Nuclear receptor interacting protein 3,NRIP3,Homo sapiens (Human),65,H0YCM9_NRIP3
NRIP3,H0YEG7,unreviewed,H0YEG7_HUMAN,Nuclear receptor interacting protein 3,NRIP3,Homo sapiens (Human),55,H0YEG7_NRIP3
PIP,P12273,reviewed,PIP_HUMAN,Prolactin-inducible protein (Gross cystic disease fluid protein 15) (GCDFP-15) (Prolactin-induced protein) (Secretory actin-binding protein) (SABP) (gp17),PIP GCDFP15 GPIP4,Homo sapiens (Human),146,P12273_PIP
CTSB,P07858,reviewed,CATB_HUMAN,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,Homo sapiens (Human),339,P07858_CTSB
CTSB,A0A024R374,unreviewed,A0A024R374_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB hCG_1990887,Homo sapiens (Human),339,A0A024R374_CTSB
CTSB,A0A7I2V2J1,unreviewed,A0A7I2V2J1_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),139,A0A7I2V2J1_CTSB
CTSB,A0A7I2V302,unreviewed,A0A7I2V302_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),118,A0A7I2V302_CTSB
CTSB,A0A7I2V367,unreviewed,A0A7I2V367_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),192,A0A7I2V367_CTSB
CTSB,A0A7I2V440,unreviewed,A0A7I2V440_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),356,A0A7I2V440_CTSB
CTSB,A0A7I2V4S6,unreviewed,A0A7I2V4S6_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),271,A0A7I2V4S6_CTSB
CTSB,A0A7I2V4Z9,unreviewed,A0A7I2V4Z9_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),323,A0A7I2V4Z9_CTSB
CTSB,A0A7I2V668,unreviewed,A0A7I2V668_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),267,A0A7I2V668_CTSB
CTSB,A0A7I2YQK9,unreviewed,A0A7I2YQK9_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),324,A0A7I2YQK9_CTSB
CTSB,A0A7P0NGZ6,unreviewed,A0A7P0NGZ6_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),338,A0A7P0NGZ6_CTSB
CTSB,E9PCB3,unreviewed,E9PCB3_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),110,E9PCB3_CTSB
CTSB,E9PHZ5,unreviewed,E9PHZ5_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),371,E9PHZ5_CTSB
CTSB,E9PID0,unreviewed,E9PID0_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),32,E9PID0_CTSB
CTSB,E9PIS1,unreviewed,E9PIS1_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),55,E9PIS1_CTSB
CTSB,E9PKQ7,unreviewed,E9PKQ7_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),136,E9PKQ7_CTSB
CTSB,E9PKX0,unreviewed,E9PKX0_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),70,E9PKX0_CTSB
CTSB,E9PL32,unreviewed,E9PL32_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),68,E9PL32_CTSB
CTSB,E9PLY3,unreviewed,E9PLY3_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),165,E9PLY3_CTSB
CTSB,E9PNL5,unreviewed,E9PNL5_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),143,E9PNL5_CTSB
CTSB,E9PQM1,unreviewed,E9PQM1_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),283,E9PQM1_CTSB
CTSB,E9PR00,unreviewed,E9PR00_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),20,E9PR00_CTSB
CTSB,E9PR21,unreviewed,E9PR21_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),320,E9PR21_CTSB
CTSB,E9PS78,unreviewed,E9PS78_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),92,E9PS78_CTSB
CTSB,E9PSG5,unreviewed,E9PSG5_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),291,E9PSG5_CTSB
CTSB,Q8TAC7,unreviewed,Q8TAC7_HUMAN,Cathepsin B (EC 3.4.22.1),CTSB,Homo sapiens (Human),37,Q8TAC7_CTSB
CTSB,R4GMQ5,unreviewed,R4GMQ5_HUMAN,Cathepsin B,CTSB,Homo sapiens (Human),76,R4GMQ5_CTSB
